Var1,pit_id,height,site_name,latitude,longitude,date,grain_size,density,temperature,b,zeta,Snowheight,SWEfin
71,COGM5N24_20200212,106,Grand Mesa,39.0329451163152,-108.185683673372,2020-02-12,1.775,306.954545454545,-3.50769230769231,2.03887076818182,8686.42967108997,142.509856097407,389.051907145921
73,COGM5S21_20200201,110,Grand Mesa,39.019348435717,-108.1751711176,2020-02-01,1.92857142857143,265.090909090909,-3.53333333333333,1.91306802077922,8009.34053122548,104.750834396385,285.96977790213
74,COGM5S24_20200129,97,Grand Mesa,39.0182634967474,-108.169070535218,2020-01-29,0.928571428571429,257.222222222222,-4.12727272727273,1.6041178015873,16369.4437401416,108.404933270677,295.945467828948
75,COGM5S29_20200204,110,Grand Mesa,39.0180100877311,-108.165315863425,2020-02-04,1.28571428571429,278.466666666667,-4.91666666666667,1.7886050447619,11907.3195913624,98.6606696058971,269.343628024099
76,COGM5S31_20200130,112,Grand Mesa,39.0194661890254,-108.164807278235,2020-01-30,1.30555555555556,275.875,-3.78461538461538,1.78368256805556,11730.3087173486,102,279
81,COGM6N16_20200208,121,Grand Mesa,39.0314656014445,-108.191575481294,2020-02-08,1.33333333333333,334.538461538462,-3.2,2.02734738717949,11491.2485123692,96.2246036897021,262.693168072887
82,COGM6N18_20200128,92,Grand Mesa,39.0340381648638,-108.191034638968,2020-01-28,1.1875,224.05,-7.27272727272727,1.542490065,12869.6170036836,86.4803400249221,236.091328268038
85,COGM6N46_20200201,97,Grand Mesa,39.0281313856883,-108.151813556049,2020-02-01,1.10714285714286,283.777777777778,-4.87272727272727,1.76045006984127,13782.4402816476,88,240
87,COGM6S26_20200212,112,Grand Mesa,39.0184014605302,-108.167332756711,2020-02-12,2.4375,296.833333333333,-4.99230769230769,2.18187146666667,6369.7950450285,107.18690031258,292.620237853342
88,COGM6S32_20200206,103,Grand Mesa,39.016922780734,-108.164689513164,2020-02-06,1.03125,258.194444444444,-7.29230769230769,1.63650113888889,14773.6343822012,104.750834396385,285.96977790213
89,COGM6S34_20200204,70,Grand Mesa,39.0158003775715,-108.162621077834,2020-02-04,1.65,254.583333333333,-7.6,1.79355554166667,9329.49215540872,103.532801438287,282.644547926524
91,COGM6S53_20200206,101,Grand Mesa,39.0161033164304,-108.124615849056,2020-02-06,1.46428571428571,252.6,-5.2,1.73407940857143,10485.1643951489,89,242
92,COGM7N40_20200204,100,Grand Mesa,39.0307002284909,-108.163688209227,2020-02-04,1.3125,277,-6.25833333333333,1.79013335,11669.6054854496,95,260
96,COGM9N44_20200201,143,Grand Mesa,39.0287455818399,-108.1600010412,2020-02-01,0.972222222222222,286.955555555556,-4.4625,1.73581855333333,15650.2975763616,138,376
108,COGMFL1B_20200212,100,Grand Mesa,39.0219277222056,-108.174167569245,2020-02-12,1.46875,285.12962962963,-4.07272727272727,1.86616128425926,10453.9946869746,84,229
