"","pit_id","height","site_name","latitude","longitude","date","grain_size","density","temperature"
"1","COGM1C1_20200131",83,"Grand Mesa",39.0641795356394,-108.220220377695,"2020-01-31",1.375,249.388888888889,-5.71
"2","COGM1C1_20200208",77,"Grand Mesa",39.064288093992,-108.220239228998,"2020-02-08",1.57142857142857,289.1875,-4.82222222222222
"3","COGM1C14_20200131",81,"Grand Mesa",39.0472158503368,-108.198414792763,"2020-01-31",2.15,263.142857142857,-5.48888888888889
"4","COGM1C5_20200212",75,"Grand Mesa",39.0618791028934,-108.215561275628,"2020-02-12",1.41666666666667,302.833333333333,-6.57777777777778
"5","COGM1C7_20200131",96,"Grand Mesa",39.0586741746643,-108.21038344248,"2020-01-31",1.75,277.833333333333,-5.99090909090909
"6","COGM1C8_20200131",86,"Grand Mesa",39.0572112992594,-108.209112235196,"2020-01-31",1.375,272.1875,-5.47
"7","COGM1N1_20200208",67,"Grand Mesa",39.0346227577076,-108.221437366543,"2020-02-08",1.1,286.142857142857,-4.35
"8","COGM1N20_20200205",35,"Grand Mesa",39.0312619703727,-108.189481332066,"2020-02-05",2.0625,230.75,-9.68
"9","COGM1N23_20200211",68,"Grand Mesa",39.0318356661912,-108.186374550131,"2020-02-11",2.0625,293.928571428571,-5.8625
"10","COGM1N3_20200211",67,"Grand Mesa",39.0337872354175,-108.2185130284,"2020-02-11",2.20833333333333,259.714285714286,-5.2375
"11","COGM1N5_20200211",88,"Grand Mesa",39.0361752036814,-108.211372936586,"2020-02-11",2.41666666666667,282.895833333333,-3.54
"12","COGM1N6_20200128",92,"Grand Mesa",39.0359562480281,-108.20975279652,"2020-01-28",1.6875,236.85,-4.81666666666667
"13","COGM1N7_20200211",84,"Grand Mesa",39.0320595835349,-108.205794062252,"2020-02-11",1.79166666666667,327.083333333333,-3.91818181818182
"14","COGM1S1_20200129",83,"Grand Mesa",39.0211989528399,-108.205598296816,"2020-01-29",1.75,238.722222222222,-4.81
"15","COGM1S12_20200211",90,"Grand Mesa",39.0182635121411,-108.191416857661,"2020-02-11",2.39285714285714,298.1875,-5.33
"16","COGM1S13_20200205",83,"Grand Mesa",39.0177894009436,-108.190061364935,"2020-02-05",1.625,323.722222222222,-8.99
"17","COGM1S17_20200208",98,"Grand Mesa",39.0197517481089,-108.181784025492,"2020-02-08",2.10714285714286,292.962962962963,-3.81818181818182
"18","COGM1S2_20200208",82,"Grand Mesa",39.0199479188528,-108.203395562149,"2020-02-08",1.52777777777778,278.62962962963,-5.38181818181818
"19","COGM1S8_20200201",74,"Grand Mesa",39.0216566974624,-108.197646042038,"2020-02-01",2.1875,257.020833333333,-7.67777777777778
"20","COGM2C12_20200212",90,"Grand Mesa",39.0532363058077,-108.200764894381,"2020-02-12",1.5625,281.8125,-6.81
"21","COGM2C13_20200212",78,"Grand Mesa",39.0496091045207,-108.200908189036,"2020-02-12",1.875,262.857142857143,-6.24
"22","COGM2C2_20200131",87,"Grand Mesa",39.0629517838897,-108.218604520105,"2020-01-31",2.25,276.428571428571,-7.57
"23","COGM2C3_20200131",70,"Grand Mesa",39.0623265982803,-108.217323270146,"2020-01-31",1.07142857142857,255.857142857143,-6.2875
"24","COGM2C33_20200130",98,"Grand Mesa",39.0131096309495,-108.161262140107,"2020-01-30",2.5,278.222222222222,-5.25454545454545
"25","COGM2C4_20200131",88,"Grand Mesa",39.0620001741844,-108.216480972336,"2020-01-31",1.65,274.125,-7.1
"26","COGM2C6_20200131",96,"Grand Mesa",39.0593631618288,-108.213198904053,"2020-01-31",1.25,291.65,-4.9
"27","COGM2C9_20200131",95,"Grand Mesa",39.0561071768174,-108.208150471721,"2020-01-31",1.875,262.75,-6.89090909090909
"28","COGM2N12_20200131",99,"Grand Mesa",39.0347915564277,-108.198755654759,"2020-01-31",1.20833333333333,266.516666666667,-4.22727272727273
"29","COGM2N13_20200206",139,"Grand Mesa",39.0339657462133,-108.196258595287,"2020-02-06",1.375,318.285714285714,-5.30666666666667
"30","COGM2N14_20200211",96,"Grand Mesa",39.0333258953454,-108.194377986989,"2020-02-11",1.5,296.722222222222,-5.24545454545455
"31","COGM2N21_20200211",103,"Grand Mesa",39.0321015161112,-108.187311162824,"2020-02-11",1.875,298.8,-4.47272727272727
"32","COGM2N4_20200128",86,"Grand Mesa",39.0362930968032,-108.217814036573,"2020-01-28",1.32142857142857,271.357142857143,-4.8
