,pit_id,avg_amp
0,COGM2S37_20200201,0.07162150441372715
1,COGMSO_20200321_1006,0.12306032718992549
2,COGM5S31_20200130,0.07162150441372715
3,COGMCO_20200318_0825,0.10356358989619704
4,COGM2C2_20200131,0.0681664022019532
5,COGMSO_20200328_1630,0.12306032718992549
6,COGMSO_20200406_0650,0.1820579838553868
7,COGM1C7_20200131,0.07453214733119745
8,COGM6C10_20200131,0.07453214733119745
9,COGM1N23_20200211,0.0785981971728517
10,COGM8N34_20200130,0.0985279961822271
11,COGMSO_20200212_1252,0.12306032718992549
12,COGM6S44_20200204,0.0805662955235959
13,COGMSO_20200225_1500,0.12306032718992549
14,COGM1N1_20200208,0.1058804305636087
15,COGM3N22_20200128,0.0785981971728517
16,COGMSO_20200328_0900,0.1820579838553868
17,COGM2N12_20200131,0.0785981971728517
18,COGMSO_20200419_1600,0.12306032718992549
19,COGM2S48_20200129,0.0805662955235959
20,COGM2C3_20200131,0.0681664022019532
21,COGM5C27_20200209,0.0806798406149198
22,COGMCO_20200219_0930,0.10356358989619704
23,COGMSO_20200122_1455,0.12306032718992549
24,COGMCO_20200212_0852,0.10356358989619704
25,COGM1C1_20200208,0.0864739284040467
26,COGMSO_20200306_1705,0.12306032718992549
27,COGMFL2A_20200211,0.1058804305636087
28,COGM2N13_20200206,0.0785981971728517
29,COGM6S32_20200206,0.07162150441372715
30,COGMCO_20200131_0830,0.10356358989619704
31,COGM2C4_20200131,0.0681664022019532
32,COGM4N2_20200128,0.1058804305636087
33,COGM3N53_20200128,0.09084752399752455
34,COGM3S14_20200201,0.0703138958481446
35,COGM2N21_20200211,0.0785981971728517
36,COGMCO_20200325_1015,0.10356358989619704
37,COGM7N40_20200204,0.0989837709561669
38,COGMSO_20200304_1550,0.12306032718992549
39,COGM1S2_20200208,0.06952311406949715
40,COGM2S27_20200204,0.07162150441372715
41,COGM2N4_20200128,0.1058804305636087
42,COGMCO_20191220_1030,0.10356358989619704
43,COGMCO_20200122_1015,0.10356358989619704
44,COGM2S45_20200210,0.0805662955235959
45,COGM9N29_20200130,0.0985279961822271
46,COGM6S26_20200212,0.07162150441372715
47,COGM2C33_20200130,0.0732683850583413
48,COGM1N5_20200211,0.06947493209696626
49,COGM6S53_20200206,0.07753316090720115
50,COGM6N18_20200128,0.0785981971728517
51,COGM9N42_20200204,0.0989837709561669
52,COGM1N6_20200128,0.06947493209696626
53,COGM1C5_20200212,0.0681664022019532
54,COGM2S11_20200201,0.05994795108136935
55,COGM1N3_20200211,0.1058804305636087
56,COGM3S38_20200201,0.07162150441372715
57,COGMCO_20200304_0921,0.10356358989619704
58,COGM1S1_20200129,0.06952311406949715
59,COGM2S36_20200129,0.07162150441372715
60,COGM1S12_20200211,0.05994795108136935
61,COGM3S33_20200204,0.07162150441372715
62,COGM6N31_20200130,0.0985279961822271
63,COGM5N19_20200128,0.0785981971728517
64,COGM2N14_20200211,0.0785981971728517
65,COGM6N46_20200201,0.09084752399752455
66,COGM5C20_20200130,0.0785981971728517
67,COGM2S20_20200206,0.0806798406149198
68,COGM5N10_20200210,0.074036564634909
69,COGMCO_20191219_1220,0.10356358989619704
70,COGM5N15_20200206,0.0785981971728517
71,COGM2S10_20200205,0.05994795108136935
72,COGM1N7_20200211,0.06947493209696626
73,COGM2S4_20200205,0.06473553257543324
74,COGM2S9_20200205,0.05994795108136935
75,COGM3S5_20200129,0.05994795108136935
76,COGM2C13_20200212,0.0669629456493652
77,COGMSO_20200312_1520,0.12306032718992549
78,COGM2N8_20200208,0.06947493209696626
79,COGM6S34_20200204,0.07162150441372715
80,COGM5N10_20200128,0.074036564634909
81,COGM2S16_20200208,0.0806798406149198
82,COGM5C21_20200130,0.0985279961822271
83,COGMSO_20200406_1600,0.1820579838553868
84,COGM2S7_20200208,0.05994795108136935
85,COGM5N11_20200210,0.074036564634909
86,COGM3N26_20200208,0.08856309667753945
87,COGM5S42_20200204,0.0805662955235959
88,COGMSO_20200219_1340,0.12306032718992549
89,COGM2S25_20200129,0.07162150441372715
90,COGM1S13_20200205,0.05994795108136935
91,COGM9N44_20200201,0.0989837709561669
92,COGM5S29_20200204,0.07162150441372715
93,COGM5N24_20200212,0.0785981971728517
94,COGMSO_20200422_1512,0.12306032718992549
95,COGM6C24_20200131,0.0985279961822271
96,COGMCO_20200417_1509,0.10356358989619704
97,COGM1C1_20200131,0.0864739284040467
98,COGM6C34_20200201,0.07634182056266064
99,COGM6N36_20200130,0.0989837709561669
