,pit_id,HH,HV,VH,VV,height,grain_size,density,temperature
0,COGMSO_20200321_1006,0.15180993157197514,0.0546332078112925,0.0549841270226636,0.12306032718992549,136.0,2.11111111111111,245.307692307692,-3.45333333333333
1,COGM2S37_20200201,0.0902719509276437,0.03370955243880045,0.0345745337123375,0.07162150441372715,104.0,1.27777777777778,269.318181818182,-5.47692307692308
2,COGM5S31_20200130,0.0902719509276437,0.03370955243880045,0.0345745337123375,0.07162150441372715,112.0,1.30555555555556,275.875,-3.78461538461538
3,COGMCO_20200318_0825,0.14924056831092963,0.04958110832765775,0.04776910136841645,0.10356358989619704,119.0,1.95,266.569444444444,-3.39285714285714
4,COGMSO_20200328_1630,0.15180993157197514,0.0546332078112925,0.0549841270226636,0.12306032718992549,147.0,1.88636363636364,270.178571428571,-2.76875
5,COGM2C2_20200131,0.0714910338951142,0.0226539359124373,0.025515188589388,0.0681664022019532,87.0,2.25,276.428571428571,-7.57
6,COGMSO_20200406_0650,0.2210704742953169,0.0850363863678893,0.08484487117967626,0.1820579838553868,130.0,1.64285714285714,308.730769230769,-1.39230769230769
7,COGM1C7_20200131,0.0859342010036101,0.028293876167914747,0.0312997385110662,0.07453214733119745,96.0,1.75,277.833333333333,-5.99090909090909
8,COGM6C10_20200131,0.0859342010036101,0.028293876167914747,0.0312997385110662,0.07453214733119745,117.0,1.41666666666667,258.409090909091,-4.96923076923077
9,COGM1N23_20200211,0.0943909486524887,0.03414814328917255,0.0360191448985176,0.0785981971728517,68.0,2.0625,293.928571428571,-5.8625
10,COGM8N34_20200130,0.13729248241946831,0.04887498197936675,0.0481329143505604,0.0985279961822271,105.0,0.928571428571429,263.3,-3.475
11,COGMSO_20200212_1252,0.15180993157197514,0.0546332078112925,0.0549841270226636,0.12306032718992549,102.0,1.46875,206.611111111111,-4.5
12,COGMSO_20200225_1500,0.15180993157197514,0.0546332078112925,0.0549841270226636,0.12306032718992549,85.0,2.5,246.125,-5.8
13,COGM6S44_20200204,0.10712830307082295,0.039235361930010954,0.03912021892486445,0.0805662955235959,104.0,1.0,257.045454545455,-5.70833333333333
14,COGM1N1_20200208,0.11287382720676216,0.05036327994401185,0.05345114375154475,0.1058804305636087,67.0,1.1,286.142857142857,-4.35
15,COGMSO_20200328_0900,0.2210704742953169,0.0850363863678893,0.08484487117967626,0.1820579838553868,160.0,1.68181818181818,220.117647058824,-2.73888888888889
16,COGM3N22_20200128,0.0943909486524887,0.03414814328917255,0.0360191448985176,0.0785981971728517,100.0,1.34375,247.5,-4.71666666666667
17,COGM2N12_20200131,0.0943909486524887,0.03414814328917255,0.0360191448985176,0.0785981971728517,99.0,1.20833333333333,266.516666666667,-4.22727272727273
18,COGMSO_20200419_1600,0.15180993157197514,0.0546332078112925,0.0549841270226636,0.12306032718992549,130.0,1.27777777777778,332.0,-0.692857142857143
19,COGM2S48_20200129,0.10712830307082295,0.039235361930010954,0.03912021892486445,0.0805662955235959,85.0,1.45,232.375,-4.09
20,COGM2C3_20200131,0.0714910338951142,0.0226539359124373,0.025515188589388,0.0681664022019532,70.0,1.07142857142857,255.857142857143,-6.2875
21,COGM5C27_20200209,0.10717911174940295,0.03991049067344215,0.0404170465999982,0.0806798406149198,100.0,1.61538461538462,134.685315789474,-3.11
22,COGMSO_20200122_1455,0.15180993157197514,0.0546332078112925,0.0549841270226636,0.12306032718992549,98.0,1.825,239.575757575758,-4.14615384615385
23,COGMCO_20200219_0930,0.14924056831092963,0.04958110832765775,0.04776910136841645,0.10356358989619704,113.0,0.5,164.5,-10.1
24,COGMCO_20200212_0852,0.14924056831092963,0.04958110832765775,0.04776910136841645,0.10356358989619704,103.0,1.59375,258.0,-6.84166666666667
25,COGM1C1_20200208,0.09317761774290285,0.03151821652086535,0.0340715271591278,0.0864739284040467,77.0,1.57142857142857,289.1875,-4.82222222222222
26,COGMSO_20200306_1705,0.15180993157197514,0.0546332078112925,0.0549841270226636,0.12306032718992549,89.0,1.35714285714286,292.1875,-3.18
27,COGMFL2A_20200211,0.11287382720676216,0.05036327994401185,0.05345114375154475,0.1058804305636087,112.0,1.63888888888889,325.541666666667,-6.42307692307692
28,COGM2N13_20200206,0.0943909486524887,0.03414814328917255,0.0360191448985176,0.0785981971728517,139.0,1.375,318.285714285714,-5.30666666666667
29,COGM6S32_20200206,0.0902719509276437,0.03370955243880045,0.0345745337123375,0.07162150441372715,103.0,1.03125,258.194444444444,-7.29230769230769
30,COGMCO_20200131_0830,0.14924056831092963,0.04958110832765775,0.04776910136841645,0.10356358989619704,114.0,0.928571428571429,254.277777777778,-7.40769230769231
31,COGM2C4_20200131,0.0714910338951142,0.0226539359124373,0.025515188589388,0.0681664022019532,88.0,1.65,274.125,-7.1
32,COGM4N2_20200128,0.11287382720676216,0.05036327994401185,0.05345114375154475,0.1058804305636087,76.0,1.3,232.0,-5.96666666666667
33,COGM3N53_20200128,0.1263519910643822,0.0432197909609328,0.042805740381304205,0.09084752399752455,110.0,1.0,256.530303030303,-4.0
34,COGM3S14_20200201,0.08348324313312361,0.0316852448834694,0.034234998686081,0.0703138958481446,103.0,1.84375,277.954545454545,-4.225
35,COGM2N21_20200211,0.0943909486524887,0.03414814328917255,0.0360191448985176,0.0785981971728517,103.0,1.875,298.8,-4.47272727272727
36,COGMCO_20200325_1015,0.14924056831092963,0.04958110832765775,0.04776910136841645,0.10356358989619704,147.0,2.11111111111111,250.857142857143,-2.96875
37,COGMSO_20200304_1550,0.15180993157197514,0.0546332078112925,0.0549841270226636,0.12306032718992549,98.0,1.6,277.4,-4.62727272727273
38,COGM7N40_20200204,0.1369444450814114,0.04826335323679125,0.04742695930077185,0.0989837709561669,100.0,1.3125,277.0,-6.25833333333333
39,COGM1S2_20200208,0.0698521156428384,0.02764698345038845,0.0322210330504262,0.06952311406949715,82.0,1.52777777777778,278.62962962963,-5.38181818181818
40,COGM2S27_20200204,0.0902719509276437,0.03370955243880045,0.0345745337123375,0.07162150441372715,70.0,1.625,272.5,-6.3625
41,COGM2N4_20200128,0.11287382720676216,0.05036327994401185,0.05345114375154475,0.1058804305636087,86.0,1.32142857142857,271.357142857143,-4.8
42,COGMCO_20191220_1030,0.14924056831092963,0.04958110832765775,0.04776910136841645,0.10356358989619704,60.0,1.6,249.583333333333,-9.22857142857143
43,COGMCO_20200122_1015,0.14924056831092963,0.04958110832765775,0.04776910136841645,0.10356358989619704,107.0,1.2,243.041666666667,-5.41538461538462
