,pit_id,depth,grain_size,site_name,latitude,longitude,date,height,density,temperature
47,COGM1C7_20200131,60.0,,Grand Mesa,39.058674174664255,-108.21038344247991,2020-01-31,96.0,263.5,-5.7
48,COGM1C7_20200131,70.0,4.75,Grand Mesa,39.058674174664255,-108.21038344247991,2020-01-31,96.0,255.5,-7.6
50,COGM1C7_20200131,80.0,,Grand Mesa,39.058674174664255,-108.21038344247991,2020-01-31,96.0,265.0,-11.2
51,COGM1C7_20200131,90.0,0.5,Grand Mesa,39.058674174664255,-108.21038344247991,2020-01-31,96.0,232.0,-14.9
52,COGM1C7_20200131,100.0,0.5,Grand Mesa,39.058674174664255,-108.21038344247991,2020-01-31,96.0,204.0,-10.8
53,COGM1C8_20200131,0.0,,Grand Mesa,39.05721129925941,-108.20911223519593,2020-01-31,86.0,,-1.6
54,COGM1C8_20200131,10.0,,Grand Mesa,39.05721129925941,-108.20911223519593,2020-01-31,86.0,,-2.5
55,COGM1C8_20200131,20.0,1.5,Grand Mesa,39.05721129925941,-108.20911223519593,2020-01-31,86.0,248.0,-3.3
56,COGM1C8_20200131,30.0,1.5,Grand Mesa,39.05721129925941,-108.20911223519593,2020-01-31,86.0,290.0,-4.0
57,COGM1C8_20200131,40.0,,Grand Mesa,39.05721129925941,-108.20911223519593,2020-01-31,86.0,318.0,-4.9
58,COGM1C8_20200131,50.0,1.5,Grand Mesa,39.05721129925941,-108.20911223519593,2020-01-31,86.0,321.5,-6.2
59,COGM1C8_20200131,60.0,2.75,Grand Mesa,39.05721129925941,-108.20911223519593,2020-01-31,86.0,275.0,-7.3
61,COGM1C8_20200131,70.0,,Grand Mesa,39.05721129925941,-108.20911223519593,2020-01-31,86.0,280.5,-9.3
62,COGM1C8_20200131,80.0,0.5,Grand Mesa,39.05721129925941,-108.20911223519593,2020-01-31,86.0,228.0,-8.4
63,COGM1C8_20200131,90.0,0.5,Grand Mesa,39.05721129925941,-108.20911223519593,2020-01-31,86.0,216.5,-7.2
64,COGM1N1_20200208,0.0,,Grand Mesa,39.03462275770759,-108.22143736654294,2020-02-08,67.0,,-1.2
65,COGM1N1_20200208,10.0,,Grand Mesa,39.03462275770759,-108.22143736654294,2020-02-08,67.0,281.0,-2.3
66,COGM1N1_20200208,20.0,3.0,Grand Mesa,39.03462275770759,-108.22143736654294,2020-02-08,67.0,273.0,-3.2
67,COGM1N1_20200208,30.0,,Grand Mesa,39.03462275770759,-108.22143736654294,2020-02-08,67.0,259.5,-3.9
68,COGM1N1_20200208,40.0,1.0,Grand Mesa,39.03462275770759,-108.22143736654294,2020-02-08,67.0,279.0,-4.5
70,COGM1N1_20200208,50.0,0.5,Grand Mesa,39.03462275770759,-108.22143736654294,2020-02-08,67.0,359.5,-5.2
71,COGM1N1_20200208,60.0,0.5,Grand Mesa,39.03462275770759,-108.22143736654294,2020-02-08,67.0,336.0,-7.0
72,COGM1N1_20200208,70.0,0.5,Grand Mesa,39.03462275770759,-108.22143736654294,2020-02-08,67.0,215.0,-7.5
73,COGM1N20_20200205,0.0,,Grand Mesa,39.031261970372725,-108.1894813320662,2020-02-05,35.0,,-3.3
74,COGM1N20_20200205,10.0,3.0,Grand Mesa,39.031261970372725,-108.1894813320662,2020-02-05,35.0,236.0,-5.9
